"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1900-06-13,NA,"1900","6","1900-6",NA,NA
1900-06-14,NA,"1900","6","1900-6",NA,NA
1900-06-15,NA,"1900","6","1900-6",NA,NA
1900-06-16,NA,"1900","6","1900-6",NA,NA
1900-06-17,NA,"1900","6","1900-6",NA,NA
1900-06-18,NA,"1900","6","1900-6",NA,NA
1900-06-19,NA,"1900","6","1900-6",NA,NA
1900-06-20,NA,"1900","6","1900-6",NA,NA
1900-06-21,NA,"1900","6","1900-6",NA,NA
1900-06-22,NA,"1900","6","1900-6",NA,NA
1900-06-23,NA,"1900","6","1900-6",NA,NA
1900-06-24,NA,"1900","6","1900-6",NA,NA
1900-06-25,NA,"1900","6","1900-6",NA,NA
1900-06-26,NA,"1900","6","1900-6",NA,NA
1900-06-27,NA,"1900","6","1900-6",NA,NA
1900-06-28,NA,"1900","6","1900-6",NA,NA
1900-06-29,NA,"1900","6","1900-6",NA,NA
1900-06-30,NA,"1900","6","1900-6",NA,NA
1900-07-01,NA,"1900","7","1900-7",NA,NA
1900-07-02,NA,"1900","7","1900-7",NA,NA
1900-07-03,NA,"1900","7","1900-7",NA,NA
1900-07-04,NA,"1900","7","1900-7",NA,NA
1900-07-05,NA,"1900","7","1900-7",NA,NA
1900-07-06,NA,"1900","7","1900-7",NA,NA
1900-07-07,NA,"1900","7","1900-7",NA,NA
1900-07-08,NA,"1900","7","1900-7",NA,NA
1900-07-09,NA,"1900","7","1900-7",NA,NA
1900-07-10,NA,"1900","7","1900-7",NA,NA
1900-07-11,NA,"1900","7","1900-7",NA,NA
1900-07-12,NA,"1900","7","1900-7",NA,NA
1900-07-13,NA,"1900","7","1900-7",NA,NA
1900-07-14,NA,"1900","7","1900-7",NA,NA
1900-07-15,NA,"1900","7","1900-7",NA,NA
1900-07-16,NA,"1900","7","1900-7",NA,NA
1900-07-17,NA,"1900","7","1900-7",NA,NA
1900-07-18,NA,"1900","7","1900-7",NA,NA
1900-07-19,NA,"1900","7","1900-7",NA,NA
1900-07-20,NA,"1900","7","1900-7",NA,NA
1900-07-21,NA,"1900","7","1900-7",NA,NA
1900-07-22,NA,"1900","7","1900-7",NA,NA
1900-07-23,NA,"1900","7","1900-7",NA,NA
1900-07-24,NA,"1900","7","1900-7",NA,NA
1900-07-25,NA,"1900","7","1900-7",NA,NA
1900-07-26,NA,"1900","7","1900-7",NA,NA
