"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1900,NA,NA,18.8,NA,NA
1901,NA,NA,18.8,NA,NA
1902,NA,NA,18.8,NA,NA
1903,NA,NA,18.8,NA,NA
1904,NA,NA,18.8,NA,NA
1905,NA,NA,18.8,NA,NA
1906,NA,NA,18.8,NA,NA
1907,NA,NA,18.8,NA,NA
1908,NA,NA,18.8,NA,NA
1909,NA,NA,18.8,NA,NA
1910,NA,NA,18.8,NA,NA
1911,NA,NA,18.8,NA,NA
1912,NA,NA,18.8,NA,NA
1913,NA,NA,18.8,NA,NA
1914,NA,NA,885.3,NA,NA
1915,NA,NA,885.3,NA,NA
1916,0,NA,885.3,NA,NA
1917,0,NA,885.3,NA,NA
1918,0,NA,885.3,NA,NA
1919,0,NA,885.3,NA,NA
1920,0,NA,965.2,NA,NA
1921,0,NA,965.2,NA,NA
1922,0,NA,1014.1,NA,NA
1923,0,NA,1252.6,NA,NA
1924,0,79.9,1265.3,0,NA
1925,26.0736328767123,79.9,1265.3,0.326328321360605,NA
1926,10.9674821917808,79.9,1265.3,0.137265108783239,NA
1927,38.466895890411,79.9,1265.3,0.481437996125294,NA
1928,41.537806010929,79.9,1265.3,0.519872415656182,NA
1929,40.4360191780822,79.9,1265.3,0.506082843280128,NA
1930,32.6741808219178,79.9,1265.3,0.408938433315617,NA
1931,31.5298438356164,79.9,5541.8,0.394616318343134,NA
1932,22.8240901639344,79.9,5541.8,0.285658199798929,NA
1933,19.7972575342466,79.9,5624.7,0.247775438476177,NA
1934,31.6168547945205,79.9,5624.7,0.395705316577228,NA
1935,26.7679890410959,79.9,5703.6,0.335018636309085,NA
1936,20.6535846994536,79.9,6968.4,0.258492924899294,NA
1937,11.7725643835616,79.9,7382.8,0.147341231333688,NA
1938,23.9762191780822,79.9,8070.5,0.300077837022305,NA
1939,16.0408273972603,79.9,8070.5,0.200761294083358,NA
1940,19.0281092896175,79.9,8070.5,0.238149052435763,NA
1941,17.5968520547945,79.9,8328.3,0.220235945616953,NA
1942,181.385604506325,337.7,8367.8,0.537120534516806,NA
1943,167.567739178082,337.7,8367.8,0.496202958774303,NA
1944,144.141601639344,337.7,8367.8,0.426833288834303,NA
1945,160.841983561644,337.7,8367.8,0.476286596273745,NA
1946,156.407967123288,337.7,8367.8,0.463156550557559,NA
1947,164.908254794521,337.7,8367.8,0.488327671881909,NA
1948,162.555045081967,337.7,8367.8,0.481359328048467,NA
1949,143.034793150685,337.7,8367.8,0.423555798491812,NA
1950,176.75705890411,337.7,8578.7,0.523414447450724,0.48351799
1951,169.718515068493,337.7,8578.7,0.502571853919139,0.31962387
1952,168.543976775956,337.7,8578.7,0.499093801527854,-0.245323228
1953,151.759626027397,337.7,8604.109688,0.449391844913821,-0.062715987
1954,152.390952054795,337.7,8604.109688,0.451261332705936,0.117022815
1955,152.943843835616,337.7,8604.109688,0.452898560366054,0.033124948
1956,149.405863387978,337.7,8604.109688,0.442421863748825,0.015443744
1957,158.188597260274,337.7,8604.109688,0.468429367072176,-0.155157492
1958,162.763047945205,337.7,8604.109688,0.481975267827082,-0.559619375
1959,150.422852054795,337.7,8604.109688,0.445433378900783,-0.243166881
1960,147.341050546448,337.7,8604.109688,0.436307523086906,-0.15157226
1961,142.787353424658,337.7,8624.009688,0.422823077952791,-0.638803639
1962,146.978776712329,337.7,8624.009688,0.435234754848471,0.1947402
1963,167.024046575342,337.7,8624.009688,0.494592971795506,-0.146402057
1964,152.948491803279,337.7,8624.009688,0.452912323965883,-0.005192615
1965,2520.04644051884,4566.1,8649.509688,0.551903471347286,0.18471078
1966,2666.41239041096,4566.1,8649.509688,0.583958386897124,0.123276323
1967,2471.30560547945,4566.1,8649.509688,0.541228971218206,-0.24632669
1968,2314.64767213115,4566.1,8667.909688,0.506920056970094,0.048440245
