huc2,xmin,xmax,variable
3,1980,1982,d. South Atlantic
3,1984,1986,d. South Atlantic
3,1998,2003,d. South Atlantic
3,2005,2008,d. South Atlantic
5,1980,1982,c. Ohio
5,1987,1989,c. Ohio
6,1980,1982,a. Tennessee
6,1985,1989,a. Tennessee
6,1999,2001,a. Tennessee
6,2005,2008,a. Tennessee
8,1980,1983,b. Lower Mississippi
8,1985,1987,b. Lower Mississippi
8,1999,2001,b. Lower Mississippi
8,2005,2007,b. Lower Mississippi
8,2010,2012,b. Lower Mississippi
9,1979,1981,e. Sourris Red Rainy
9,1983,1985,e. Sourris Red Rainy
9,1987,1989,e. Sourris Red Rainy
9,1993,1995,e. Sourris Red Rainy
9,2001,2004,e. Sourris Red Rainy
10,1979,1981,h. Missouri
10,1987,1990,h. Missouri
10,1999,2001,h. Missouri
10,2001,2003,h. Missouri
10,2005,2007,h. Missouri
10,2011,2013,h. Missouri
11,1980,1982,f. Arkansas White Red
11,2001,2003,f. Arkansas White Red
11,2005,2007,f. Arkansas White Red
11,2010,2013,f. Arkansas White Red
12,1979,1981,g. Texas Gulf
12,1983,1985,g. Texas Gulf
12,1995,1997,g. Texas Gulf
12,1999,2001,g. Texas Gulf
12,2005,2007,g. Texas Gulf
12,2007,2010,g. Texas Gulf
12,2010,2012,g. Texas Gulf
14,1988,1991,j. Upper Colorado
14,1993,1995,j. Upper Colorado
14,1995,1997,j. Upper Colorado
14,1999,2001,j. Upper Colorado
14,2001,2003,j. Upper Colorado
14,2010,2013,j. Upper Colorado
15,1988,1990,l. Lower Colorado
15,1995,1997,l. Lower Colorado
15,1999,2001,l. Lower Colorado
15,2005,2007,l. Lower Colorado
15,2008,2010,l. Lower Colorado
16,1991,1993,k. Great Basin
16,1993,1995,k. Great Basin
16,1999,2003,k. Great Basin
16,2006,2009,k. Great Basin
16,2011,2013,k. Great Basin
18,1980,1982,i. California
18,1986,1988,i. California
18,1990,1992,i. California
18,1993,1995,i. California
18,2000,2003,i. California
18,2003,2005,i. California
18,2006,2010,i. California
18,2011,2012,i. California
