DAM_ID,GRAND_ID,NABD_ID,DAM_NAME,PNNL_DAM_ID,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,NORMAL_STORAGE.MCM.,MAXIMUM_STORAGE,STORAGE,DAM_HEIGHT,ELEV_MASL,S_RATIO,i_MAF_MCM,MAIN_USE,P_FLC,P_NAV,P_HYD,P_SUP,P_IRR,P_REC,P_FSH,UPST_DAMS_N,UPST_DAMS_CAP,YEAR_CREATED,norm_Stor,Max_stor,join_OBJECTID,join_TNMID,join_MetaSource,join_SourceData,join_SourceOrig,join_SourceFeat,join_LoadDate,join_AreaSqKm,join_AreaAcres,join_GNIS_ID,join_Name,join_States,join_HUC2,join_Shape_Leng,join_Shape_Area,join_layer,join_path,join_HUC2_db,join_Prior_purp,distance,,
1867,1867,AL01420,Lewis Smith,NA,Alabama,NA,-87.10631,33.94409,NA,NA,2060.8,2060.8,2060.8,21,147,1.551577917,1328.196269,Hydroelectricity,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,17,8236.7,1961,2060.8,2060.8,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1900,1900,AL01425,Martin,NA,Alabama,NA,-85.910417,32.682016,NA,NA,2004.4,2004.4,2004.4,3,139,0.486065241,4123.726265,Hydroelectricity,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,17,8236.7,1926,2004.4,2004.4,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,10,199
1835,1835,AL07701,Wheeler,NA,Alabama,TVA,-87.380231,34.806299,NA,NA,1318.6,1318.6,1318.6,14,162,0.032051874,41139.56032,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,43,32271.4,1936,1318.6,1318.6,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1847,1847,AL09501,Guntersville,NA,Alabama,NA,-86.39202,34.421538,NA,NA,1293.9,1293.9,1293.9,37,174,0.039019049,33160.72608,Navigation,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,38,29821.3,1939,1293.9,1293.9,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1910,1910,AL01432,Walter F. George Lock and Dam,NA,Alabama,NA,-85.064945,31.627517,NA,NA,1152.6,1152.6,1152.6,12,48,0.114716927,10047.34025,Navigation,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,8,4288.6,1962,1152.6,1152.6,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1880,1880,AL01417,Logan Martin,NA,Alabama,NA,-86.33435,33.424661,NA,NA,801.8,801.8,801.8,28,127,0.069071424,11608.27381,Hydroelectricity,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,15,7802.5,1964,801.8,801.8,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
7306,7306,AL07702,Wilson,NA,Alabama,NA,-87.623433,34.79871,NA,NA,789.7,0,789.7,NA,NA,NA,NA,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1924,789.7,0,1,{142390F9-84A3-42CF-A41C-ED4F0EB4E6FC},,,,,8/1/17,105949.07,26180561.97,2730136,Tennessee Region,"AL,GA,KY,MS,NC,SC,TN,VA,WV",6,34.53241107,10.53770723,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-5/WBDHU2.shp,6,Flood control,0,,
1889,1889,AL01150,R.L. Harris,NA,Alabama,NA,-85.610417,33.260829,NA,NA,525.5,525.5,525.5,6,243,0.260551238,2016.877774,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5,2342.4,1983,525.5,525.5,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1860,1860,AL01415,Weiss Main Dam,NA,Alabama,NA,-85.753125,34.173958,NA,NA,377.8,377.8,377.8,37,167,0.047853541,7894.92258,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,2430.4,1961,377.8,377.8,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
1895,1895,AL01418,Lay,NA,Alabama,NA,-86.518663,32.965262,NA,NA,326.9,326.9,326.9,9,115,0.024235844,13488.28628,Hydroelectricity,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,15,7802.5,1914,326.9,326.9,1,{9C77B5BA-946A-4537-BADD-990373DEFFBB},,,,,7/17/18,739947.45,182844835.7,2730133,South Atlantic-Gulf Region,"AL,FL,GA,LA,MS,NC,SC,TN,VA",3,70.53234714,71.0318499,WBDHU2,/Users/junzhang/Documents/DATA/HUC/Shape-2/WBDHU2.shp,3,Flood control,0,,
