year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1950,-0.505734768,-0.255484564,-0.378976216,0.232177828,0.493088041,0.516300076,0.072983728,0.422266701,0.48351799,-0.012014715,-0.169979172,0.179279238,-0.218562664,-0.274764686,-0.277867724,-0.423238629,0.079524737,-0.302891247
1951,0.328954377,0.07718888,-0.53951186,0.235826623,0.148928539,-0.268777862,0.201701334,-0.247646378,0.31962387,0.071722105,-0.141693002,-0.797770474,-0.88748724,-0.467790918,-0.23524857,-0.005510595,0.094103408,-0.003046329
1952,0.214705426,0.624368699,-0.128478779,0.109368549,0.124852165,-0.117155697,0.149010032,-0.473420158,-0.245323228,-0.010004416,-0.425666725,-0.555075425,-0.352162024,0.379120402,0.567607557,0.479329579,-0.032516593,0.605926835
1953,-0.015494268,0.282684835,0.096088067,-0.346093673,-0.534903648,-0.154190679,-0.334989633,-0.167838511,-0.062715987,-0.325929055,-0.634165783,-0.383032403,-0.786283139,-0.396471595,-0.122948663,-0.56304098,-0.190010194,-0.019885348
1954,0.472396303,-0.555178157,-0.529030408,-0.232195921,-1.015554598,-0.880873081,-0.255740157,-0.850805033,0.117022815,-0.349173122,-0.705134114,-0.74634222,-0.412718656,-0.396759847,-0.235907776,-0.497609599,-0.016754151,-0.137774752
1955,0.206282631,-0.099362073,-0.390752485,-0.266599727,0.129121424,-0.088620783,-0.263341122,-0.068833518,0.033124948,-0.368835711,-0.381148904,-0.316816208,-0.423683414,-0.344451978,-0.193066174,-0.468908996,-0.402107463,-0.356650796
1956,-0.245987487,-0.067707448,-0.505997976,0.090372418,0.226880644,-0.220545977,-0.585854301,-0.57424991,0.015443744,-0.664197394,-1.015508721,-1.120827445,-0.85012766,-0.741493659,-0.791366042,-0.142921776,0.370539278,0.052913107
1957,-1.193020982,-0.511308305,-0.068161174,-0.438991857,-0.175117759,0.071514121,-0.363165896,0.171460397,-0.155157492,-0.085736652,0.150274175,0.047559768,-0.34946832,0.518596869,-0.158274325,-0.239995475,0.058302351,-0.097566116
1958,0.352327704,0.624524895,0.522927065,-0.58234718,0.378446302,0.422690453,-0.596505622,0.590397088,-0.559619375,0.050765164,0.507028857,0.459496328,0.451751405,-0.133099367,0.456185525,0.089435199,0.166483035,0.912750631
1959,-0.350453478,-0.50343697,0.152058883,-0.003056621,-0.461174406,-0.474575451,-0.277722138,-0.116123235,-0.243166881,-0.364178614,-0.288196051,0.074534362,0.182220137,-0.488438797,-0.242307885,-0.610156738,-0.051005786,-0.658797221
